icao24,r,t
400510,G-BYAH,B752
3946000,F-GRXD,A319
4006b9,G-OMYA,A320
aab812,N790AN,B772
7101000000,HZ-NSA,A310
a64240,N502KA,GLF5
4e+61,G-EZAW,A319
4008b2,G-EUPR,A319
ab2855,N818NW,A333
400bfb,G-LDFM,C560
45a6cb,OY-IVK,F900
400992,G-OZBE,A321
a120fe,N172DZ,B763
394c13,F-GTAT,A321
40600f,G-EZTE,A320
400960,G-TTOE,A320
405b6a,G-EZDR,A319
400406,G-BNLG,B744
400972,G-MIDR,A320
40604b,G-FLBA,DH8D
4b187a,HB-JHA,A333
4ca798,EI-DTE,A320
4ca73f,EI-EBX,B738
4ca1b3,EI-DAD,B738
4ca563,EI-DPX,B738
a8e297,N67158,B762
4013b1,G-OZBU,A321
400b84,G-DBCF,A319
484045,PH-MCI,B763
400aa2,G-EZEJ,A319
405588,G-RIDA,AS55
40415f,G-RICO,AA5
400a8e,G-OOPX,A320
400923,G-VSHY,A346
4ca2ad,EI-DHZ,B738
4ca246,EI-DCP,B738
4009d8,G-EUUK,A320
a46de9,N385AM,B763
40076a,G-MARA,A321
400947,G-RJXJ,E135
4ca211,EI-DEC,A320
4ca738,EI-EBO,B738
40076b,G-OJEG,A321
47834f,LN-RPM,B738
c050b5,C-GEOQ,B763
4ca2d8,EI-DLL,B738
4009ba,G-CELS,B733
4ca1f5,EI-DAY,B738
400a06,G-EZJV,B737
400437,G-LSAJ,B752
4ca769,EI-EFN,B738
40056f,G-BYAO,B752
400e4e,G-LSAC,B752
4006b5,G-TCBA,B752
4843f2,PH-BQO,B772
406037,G-IOOZ,A109
400de0,G-RJXM,E145
4ca64e,EI-DYL,B738
4006b1,G-BYGA,B744
4911d5,CS-DNU,H25B
405ee0,G-EUYC,A320
896143,A6-EYJ,A332
400bdb,G-EZPG,A319
aa4195,N760AN,B772
400501,G-BYAD,B752
405906,G-CROO,C25A
c00a9b,C-FEAK,B738
400a66,G-MEDJ,A321
4ca73d,EI-EBV,B738
ab60e3,N832MH,B764
400846,G-RJXD,E145
401057,G-TAYC,GLF4
4ca63a,EI-DVG,A320
4b1839,HB-JEN,GLEX
400db2,G-EZAO,A319
400934,G-EUPX,A319
484166,PH-BXN,B738
400dad,G-EZAI,A319
400755,G-BYAY,B752
400700,G-FCLI,B752
3c48a4,D-ABED,B733
aa2a9f,N754TS,GLEX
400a7c,G-DBCC,A319
400599,G-BVKB,B735
400afe,G-EUXF,A321
405f13,G-EZTC,A320
405457,G-EUUW,A320
4010fb,G-OASP,AS50
4ca2bf,EI-DLB,B738
40048e,G-BPED,B752
4.05e+67,G-FBEN,E190
400a05,G-EZJW,B737
400d69,G-EZIZ,A319
400492,G-CELC,B733
402a17,G-OPSL,P32R
800165,VT-AIL,B772
400965,G-MEDG,A321
c051e2,C-GFAF,A333
400d27,G-LSAB,B752
40057f,G-TCCA,B763
ad166d,N942UW,B752
4ca0fe,EI-CPG,A321
405b8c,G-FBEL,E190
4008ad,G-EUPN,A319
a2b56f,N274AY,A333
4ca2d7,EI-DLK,B738
405fd4,G-ECOR,DH8D
4.05e+26,G-FDZS,B738
40041a,G-BUSK,A320
405635,G-EZDF,A319
4248f3,VQ-BBB,A320
4ca25b,EI-DHF,B738
484048,PH-MCM,B763
4009f9,G-MIDO,A320
4054a6,G-FDZG,B738
405f79,G-ECOP,DH8D
400ae1,G-EZET,A319
