icao24,lastSeen,callsign,callsign3,IATA,Airline Name,firstSeen,estArrivalAirport,estDepartureAirport,estArrivalAirportVertDistance,arrivalAirportCandidatesCount,estArrivalAirportHorizDistance,estDepartureAirportVertDistance,departureAirportCandidatesCount,estDepartureAirportHorizDistance
4ca256,1583538088,RYR11XB ,RYR,FR,Ryanair,1583528596,EGCC,,2,1,1188,,0,
4cafc2,1583537524,RYR84AA ,RYR,FR,Ryanair,1583522407,EGCC,,5,1,1097,,0,
40768b,1583536505,EZY72ER ,EZY,U2,easyJet,1583508226,EGCC,EGCC,2,1,178,43,1,469
4ca7b7,1583536053,RYR2RR  ,RYR,FR,Ryanair,1583533040,EGCC,EINN,2,1,946,100,0,916
3c6742,1583535881,DLH4TW  ,DLH,LH,Lufthansa,1583529360,EGCC,EDDM,2,1,147,141,0,1233
4ca4e8,1583535692,RYR5EU  ,RYR,FR,Ryanair,1583525170,EGCC,LEZL,2,1,925,263,1,2335
40772d,1583535604,EZY16KQ ,EZY,U2,easyJet,1583529974,EGCC,LSGG,2,1,164,72,1,202
40690d,1583535489,EZY47PR ,EZY,U2,easyJet,1583520316,EGCC,,2,1,132,,0,
4ca645,1583534988,RYR1HH  ,RYR,FR,Ryanair,1583523785,EGCC,LEMG,13,1,1349,69,0,1561
4ca740,1583534856,RYR56LE ,RYR,FR,Ryanair,1583528147,EGCC,LIME,9,1,687,569,1,2951
4074b8,1583534420,EZY21DZ ,EZY,U2,easyJet,1583523456,EGCC,,2,1,237,,0,
4074b6,1583534271,EZY85WE ,EZY,U2,easyJet,1583528720,EGCC,LSZM,2,1,339,19,1,2860
406d27,1583533552,EXS43A  ,EXS,LS,Jet2.com,1583519402,EGCC,,2,1,802,,0,
3c648a,1583533319,DLH9CK  ,DLH,LH,Lufthansa,1583528287,EGCC,EDDF,2,1,719,49,1,1306
4ca7b4,1583533203,RYR5GB  ,RYR,FR,Ryanair,1583524297,EGCC,LEBL,13,1,1177,903,0,6863
40622b,1583532998,EZY76HR ,EZY,U2,easyJet,1583526606,EGCC,,2,1,346,,0,
4072c8,1583532824,EZY69ME ,EZY,U2,easyJet,1583527140,EGCC,EKCH,2,1,158,93,0,478
4ca704,1583532613,RYR100A ,RYR,FR,Ryanair,1583525770,EGCC,LKPR,13,1,1251,389,2,1934
406668,1583532544,EZY31MC ,EZY,U2,easyJet,1583530548,EGCC,EGAA,2,1,9,550,0,3205
406673,1583532464,EZY67KA ,EZY,U2,easyJet,1583523691,EGCC,LHBP,2,1,338,70,0,1203
4ca4f5,1583532245,RYR4TY  ,RYR,FR,Ryanair,1583528674,EGCC,EBCI,5,1,1191,262,2,1607
406d92,1583532160,EZY14WF ,EZY,U2,easyJet,1583525542,EGCC,LKPR,2,1,141,366,2,2245
44cdcd,1583532020,BEL2UQ  ,BEL,,,1583528707,EGCC,EBMB,5,1,130,31,2,420
484160,1583531877,KLM59W  ,KLM,KL,KLM Royal Dutch Airlines,1583527938,EGCC,EHAM,5,1,766,33,0,768
4ca9cd,1583531835,RYR2UN  ,RYR,FR,Ryanair,1583522996,EGCC,LEMD,5,1,1116,145,1,5569
